"R e,out","t e,out","R e,in","t e,in",Aso,Asi,As,Ac,Ak,χ,γ,"R e,out/R e,in",t out/t in,φ r,ke,"fy,out","fy,in","fc,ref",N0,Nexp
57.0,3.0,13.0,3.0,1102.699021,273.3185609,1376.017582,9402.786812,530.9291585,0.28,0.0,4.384615385,1.0,1.0,1.0,275.9,422.3,39.10598436,787.3623222,1054.0
57.0,3.0,26.0,3.0,1102.699021,518.3627878,1621.061809,7564.95511,2123.716634,0.51,0.0,2.192307692,1.0,1.0,1.0,275.9,374.5,39.10598436,794.1965402,990.0
57.0,3.0,41.0,3.0,1102.699021,801.1061267,1903.805148,4124.911154,5281.017251,0.77,0.0,1.390243902,1.0,1.0,1.0,275.9,370.2,39.10598436,762.1128592,870.0
87.0,3.0,41.0,3.0,1668.185699,801.1061267,2469.291826,17696.59142,5281.017251,0.51,0.0,2.12195122,1.0,1.0,1.0,275.9,370.2,39.10598436,1448.86455,1725.0
78.1,0.9,18.1,0.9,444.1897853,104.8977787,549.087564,18028.37502,1029.217169,0.24,0.0,4.314917127,1.0,1.0,1.0,221.0,221.0,18.7,121.3483516,635.0
78.6,0.9,37.1,0.9,447.0172187,212.3402475,659.3574661,14872.17396,4324.119544,0.48,0.0,2.118598383,1.0,1.0,1.0,221.0,221.0,18.7,145.718,540.0
78.6,0.9,56.1,0.9,447.0172187,319.7827162,766.7999349,9201.599219,9887.251815,0.72,0.0,1.401069519,1.0,1.0,1.0,221.0,221.0,18.7,169.4627856,378.0
77.5,1.5,18.0,1.5,737.4888754,176.7145868,914.2034622,17674.60027,1017.87602,0.25,0.0,4.305555556,1.0,1.0,1.0,308.0,308.0,18.7,281.5746664,852.0
77.5,1.5,37.0,1.5,737.4888754,355.785368,1093.274243,14212.56516,4300.840343,0.49,0.0,2.094594595,1.0,1.0,1.0,308.0,308.0,18.7,336.728467,728.0
77.5,1.5,55.5,1.5,737.4888754,530.1437603,1267.632636,8662.156344,9676.890771,0.72,0.0,1.396396396,1.0,1.0,1.0,308.0,308.0,18.7,390.4308518,589.0
76.86,2.14,17.86,2.14,1047.84807,254.5330934,1302.381164,17302.19462,1002.103968,0.25,0.0,4.303471445,1.0,1.0,1.0,286.0,286.0,18.7,372.4810128,968.0
76.86,2.14,36.36,2.14,1047.84807,503.2843997,1551.13247,13902.20597,4153.341311,0.49,0.0,2.113861386,1.0,1.0,1.0,286.0,286.0,18.7,443.6238864,879.0
76.36,2.14,55.36,2.14,1041.125062,758.7587143,1799.883776,7931.263557,9628.131997,0.73,0.0,1.37933526,1.0,1.0,1.0,286.0,286.0,18.7,514.76676,704.0
