"R e,out","t e,out","R e,in","t e,in",e,"fy,out","fy,in","fc,ref",L/r,ke,N0,Nexp
58.04,1.96,28.04,1.96,0.0,311.0,380.0,49.08,39.98267851,1.0,742.45,715.0
66.6,3.0,36.1,2.0,0.0,418.0,324.0,23.53,25.45751489,1.0,908.18,1059.2
66.6,3.0,36.1,2.0,0.0,418.0,324.0,23.53,25.53404049,1.0,908.18,1056.1
66.6,3.0,36.1,2.0,0.0,418.0,324.0,23.53,38.26279794,1.0,908.18,905.5
66.6,3.0,36.1,2.0,0.0,418.0,324.0,23.53,38.33932353,1.0,908.18,901.6
66.6,3.0,36.1,2.0,0.0,418.0,324.0,23.53,51.01706391,1.0,908.18,831.7
66.6,3.0,36.1,2.0,0.0,418.0,324.0,23.53,50.96604685,1.0,908.18,837.4
66.6,3.0,36.1,2.0,0.0,418.0,324.0,23.53,63.82234696,1.0,908.18,732.1
66.6,3.0,36.1,2.0,0.0,418.0,324.0,23.53,63.72031283,1.0,908.18,729.0
73.2,3.0,36.1,2.0,0.0,549.0,324.0,23.53,23.79067434,1.0,1212.83,1263.5
73.2,3.0,36.1,2.0,0.0,549.0,324.0,23.53,23.76695483,1.0,1212.83,1254.9
73.2,3.0,36.1,2.0,0.0,549.0,324.0,23.53,35.50811515,1.0,1212.83,1195.6
73.2,3.0,36.1,2.0,0.0,549.0,324.0,23.53,35.65043224,1.0,1212.83,1191.2
73.2,3.0,36.1,2.0,0.0,549.0,324.0,23.53,47.36787304,1.0,1212.83,1047.3
73.2,3.0,36.1,2.0,0.0,549.0,324.0,23.53,47.43903159,1.0,1212.83,1041.6
73.2,3.0,36.1,2.0,0.0,549.0,324.0,23.53,59.25135046,1.0,1212.83,941.4
73.2,3.0,36.1,2.0,0.0,549.0,324.0,23.53,59.29878949,1.0,1212.83,949.0
79.55,3.0,36.1,2.0,0.0,516.0,324.0,23.53,22.15357163,1.0,1299.82,1512.3
79.55,3.0,36.1,2.0,0.0,516.0,324.0,23.53,22.17576959,1.0,1299.82,1510.6
79.55,3.0,36.1,2.0,0.0,516.0,324.0,23.53,33.38574321,1.0,1299.82,1286.4
79.55,3.0,36.1,2.0,0.0,516.0,324.0,23.53,33.25255541,1.0,1299.82,1275.1
79.55,3.0,36.1,2.0,0.0,516.0,324.0,23.53,44.46252903,1.0,1299.82,1187.2
79.55,3.0,36.1,2.0,0.0,516.0,324.0,23.53,44.35153919,1.0,1299.82,1199.8
79.55,3.0,36.1,2.0,0.0,516.0,324.0,23.53,55.45052297,1.0,1299.82,1028.0
79.55,3.0,36.1,2.0,0.0,516.0,324.0,23.53,55.53931484,1.0,1299.82,1036.5
93.35,3.5,36.1,2.0,0.0,391.0,324.0,23.53,19.40803719,1.0,1505.58,2010.0
93.35,3.5,36.1,2.0,0.0,391.0,324.0,23.53,19.34998722,1.0,1505.58,2030.0
93.35,3.5,36.1,2.0,0.0,391.0,324.0,23.53,29.06368081,1.0,1505.58,1730.0
93.35,3.5,36.1,2.0,0.0,391.0,324.0,23.53,29.02498084,1.0,1505.58,1720.0
93.35,3.5,36.1,2.0,0.0,391.0,324.0,23.53,38.66127448,1.0,1505.58,1581.6
93.35,3.5,36.1,2.0,0.0,391.0,324.0,23.53,38.75802441,1.0,1505.58,1584.1
93.35,3.5,36.1,2.0,0.0,391.0,324.0,23.53,48.43301802,1.0,1505.58,1451.4
93.35,3.5,36.1,2.0,0.0,391.0,324.0,23.53,48.3169181,1.0,1505.58,1458.7
54.38,2.87,21.22,2.73,0.0,270.3,306.8,32.9,13.10269505,1.0,637.27,909.0
80.72,3.18,47.8,2.8,0.0,280.1,324.1,32.9,8.284906928,1.0,1150.0,1409.0
54.26,2.79,22.38,3.07,0.0,280.7,228.2,39.4,13.05426117,1.0,663.38,852.0
80.98,3.22,48.16,2.79,0.0,281.1,225.7,39.4,8.247409761,1.0,1156.16,1314.0
67.5,2.5,55.0,2.0,0.0,307.0,321.0,32.47,9.435823091,1.0,690.78,755.0
67.5,2.5,55.0,2.0,0.0,307.0,321.0,32.47,9.435823091,1.0,690.78,701.0
67.5,2.5,36.4,1.6,0.0,307.0,429.0,32.47,10.6466019,1.0,809.46,942.0
67.5,2.5,36.4,1.6,0.0,307.0,429.0,32.47,10.6466019,1.0,809.46,928.0
217.0,8.0,192.0,8.0,0.0,365.0,363.0,35.36,4.73316154,1.0,8418.41,8906.0
217.0,8.0,192.0,8.0,0.0,365.0,363.0,35.36,4.73316154,1.0,8418.41,8774.0
49.2,1.7,23.27,1.53,0.0,353.3,376.5,36.42,10.72060734,1.0,482.45,583.0
49.2,1.7,22.38,3.07,0.0,353.3,228.9,36.42,10.79082005,1.0,497.32,634.0
48.16,2.79,23.27,1.53,0.0,226.0,376.5,36.42,10.71190436,1.0,478.32,593.0
48.16,2.79,22.38,3.07,0.0,226.0,228.9,36.42,10.78194505,1.0,493.18,681.0
54.26,2.79,23.27,1.53,0.0,281.2,376.5,36.42,11.36118881,1.0,627.82,804.0
54.26,2.79,22.38,3.07,0.0,281.2,228.9,36.42,11.42247853,1.0,642.69,891.0
74.7,1.6,23.27,1.53,0.0,314.5,376.5,36.42,11.2824962,1.0,893.77,1055.0
74.7,1.6,36.44,1.66,0.0,314.5,398.9,36.42,10.64394774,1.0,866.13,997.0
74.7,1.6,49.2,1.7,0.0,314.5,353.3,36.42,9.913281418,1.0,769.6,825.0
74.7,1.6,48.16,2.79,0.0,314.5,226.0,36.42,9.974739008,1.0,776.47,882.0
80.98,3.22,23.27,1.53,0.0,281.5,376.5,36.42,10.30262737,1.0,1237.3,1569.0
80.98,3.22,36.44,1.66,0.0,281.5,398.9,36.42,9.809583317,1.0,1209.65,1470.0
80.98,3.22,41.38,3.22,0.0,281.5,259.2,36.42,9.592973052,1.0,1218.53,1464.0
80.98,3.22,49.2,1.7,0.0,281.5,353.3,36.42,8.305930194,1.0,1113.12,1332.0
80.98,3.22,48.16,2.79,0.0,281.5,226.0,36.42,9.278335981,1.0,1119.99,1354.0
80.98,3.22,54.26,2.79,0.0,281.5,281.2,36.42,8.984834529,1.0,1122.64,1319.0
99.36,1.99,22.38,3.07,0.0,304.0,228.9,36.42,7.707756158,1.0,1542.49,1653.0
99.36,1.99,36.44,1.66,0.0,304.0,398.9,36.42,7.427910277,1.0,1499.98,1658.0
99.36,1.99,48.16,2.79,0.0,304.0,226.0,36.42,7.129454623,1.0,1410.32,1625.0
99.36,1.99,74.7,1.6,0.0,304.0,314.5,36.42,6.354027924,1.0,1083.63,1142.0
172.5,5.5,106.2,3.3,0.0,618.0,356.0,38.83,10.30520861,1.0,4538.83,7242.0
172.5,5.5,106.2,3.3,0.0,618.0,356.0,38.83,10.30520861,1.0,4538.83,7159.0
172.5,5.5,80.7,3.3,0.0,618.0,356.0,38.83,10.9292288,1.0,4350.6,8516.0
51.3,5.85,27.63,2.52,0.0,455.0,396.0,36.2,10.80363082,1.0,1283.93,1422.0
51.3,5.85,24.38,5.77,0.0,455.0,310.0,36.2,11.03761502,1.0,1409.21,1574.0
54.42,2.73,27.63,2.52,0.0,285.0,396.0,36.2,10.80363082,1.0,687.28,735.0
54.42,2.73,24.38,5.77,0.0,285.0,310.0,36.2,11.03761502,1.0,812.56,913.0
51.3,5.85,27.63,2.52,0.0,455.0,396.0,60.6,10.80363082,1.0,1415.98,1506.0
51.3,5.85,24.38,5.77,0.0,455.0,310.0,60.6,11.03761502,1.0,1541.26,1666.0
54.42,2.73,27.63,2.52,0.0,285.0,396.0,60.6,10.80363082,1.0,844.61,899.0
54.42,2.73,24.38,5.77,0.0,285.0,310.0,60.6,11.03761502,1.0,969.9,1088.0
67.18,2.92,6.96,4.09,0.0,300.0,794.0,40.5,9.936875351,1.0,1120.23,1410.0
