"R e,out","t e,out","R e,in","t e,in",Aso,Asi,As,Ac,Ak,χ,e,γ,"R e,out/R e,in",t out/t in,φ r,"fy,out","fy,in","fc,ref",L,e/L,N0/kN,Nexp/kN
64.318,3.385137501,26.0,3.0,1404.0,518.36,1922.36,10353.92,2123.72,0.5088,0.0,0.0,2.474,1.0,1.05,275.9,369.6,39.11,360.0,0.0,983.85,1000.0
64.318,3.385137501,41.0,3.0,1404.0,801.11,2205.11,6913.88,5281.02,0.7719,0.0,0.0,1.569,1.0,1.05,275.9,376.72,39.11,360.0,0.0,959.53,870.0
64.318,3.385137501,41.0,3.0,1404.0,801.11,2205.11,6913.88,5281.02,0.7719,0.0,0.0,1.569,1.0,1.05,275.9,376.72,39.11,360.0,0.0,959.53,996.0
98.169,3.385137501,41.0,3.0,2124.0,801.11,2925.11,24193.88,5281.02,0.5057,0.0,0.0,2.394,1.0,1.05,275.9,376.72,39.11,540.0,0.0,1833.93,1725.0
98.169,3.385137501,41.0,3.0,2124.0,801.11,2925.11,24193.88,5281.02,0.5057,0.0,0.0,2.394,1.0,1.05,275.9,376.72,39.11,540.0,0.0,1833.93,1710.0
132.02,3.385137501,54.0,3.0,2844.0,1046.15,3890.15,44548.97,9160.88,0.4872,0.0,0.0,2.445,1.0,1.05,275.9,312.32,39.11,720.0,0.0,2853.52,2580.0
132.02,3.385137501,54.0,3.0,2844.0,1046.15,3890.15,44548.97,9160.88,0.4872,0.0,0.0,2.445,1.0,1.05,275.9,312.32,39.11,720.0,0.0,2853.52,2460.0
165.872,3.385137501,79.5,3.0,3564.0,1526.81,5090.81,65053.54,19855.65,0.5612,0.0,0.0,2.086,1.0,1.05,275.9,312.85,39.11,900.0,0.0,4004.95,3240.0
165.872,3.385137501,79.5,3.0,3564.0,1526.81,5090.81,65053.54,19855.65,0.5612,0.0,0.0,2.086,1.0,1.05,275.9,312.85,39.11,900.0,0.0,4004.95,3430.0
120.037,4.084732585,75.78,3.72,3133.18,1814.71,4947.9,25411.17,18040.94,0.7473,0.0,0.0,1.584,0.973,1.06,319.6,380.6,51.43,660.0,0.0,2998.96,2908.0
120.037,4.084732585,75.78,3.72,3133.18,1814.71,4947.9,25411.17,18040.94,0.7473,0.0,0.0,1.584,0.973,1.06,319.6,380.6,51.43,660.0,0.0,2998.96,2860.0
120.037,4.084732585,49.28,3.72,3133.18,1195.32,4328.5,36442.08,7629.42,0.4982,0.0,0.0,2.436,0.973,1.06,319.6,380.6,51.43,660.0,0.0,3330.55,3516.0
120.037,4.084732585,49.28,3.72,3133.18,1195.32,4328.5,36442.08,7629.42,0.4982,0.0,0.0,2.436,0.973,1.06,319.6,380.6,51.43,660.0,0.0,3330.55,3309.0
120.037,4.084732585,75.78,3.72,3133.18,1814.71,4947.9,25411.17,18040.94,0.7473,0.0,0.0,1.584,0.973,1.06,319.6,380.6,51.43,660.0,0.0,2998.96,1116.0
120.037,4.084732585,75.78,3.72,3133.18,1814.71,4947.9,25411.17,18040.94,0.7473,0.0,0.0,1.584,0.973,1.06,319.6,380.6,51.43,660.0,0.0,2998.96,1159.0
86.186,4.084732585,27.15,2.85,2264.38,511.69,2776.08,20508.18,2315.74,0.3928,0.0,0.0,3.174,1.27,1.05,374.0,394.0,42.53,480.0,0.0,1920.73,1620.0
118.48,5.641895835,39.0,6.0,4300.0,1583.36,5883.36,37738.27,4778.36,0.4286,0.0,0.0,3.038,0.833,1.05,350.0,350.0,40.0,660.0,0.0,3568.71,3710.0
119.608,4.513516668,39.0,6.0,3456.0,1583.36,5039.36,38582.27,4778.36,0.4245,0.0,0.0,3.067,0.667,1.05,350.0,350.0,40.0,660.0,0.0,3307.07,3475.0
120.737,3.385137501,39.0,6.0,2604.0,1583.36,4187.36,39434.27,4778.36,0.4206,0.0,0.0,3.096,0.5,1.05,350.0,350.0,40.0,660.0,0.0,3042.95,3108.0
121.865,2.256758334,39.0,6.0,1744.0,1583.36,3327.36,40294.27,4778.36,0.4167,0.0,0.0,3.125,0.333,1.05,350.0,350.0,40.0,660.0,0.0,2776.35,2786.0
122.993,1.128379167,39.0,6.0,876.0,1583.36,2459.36,41162.27,4778.36,0.4128,0.0,0.0,3.154,0.167,1.05,350.0,350.0,40.0,660.0,0.0,2507.27,2465.0
157.973,11.28379167,68.0,7.0,11600.0,3144.73,14744.73,60728.54,14526.72,0.5357,0.0,0.0,2.323,1.429,1.05,350.0,350.0,40.0,900.0,0.0,7589.8,7226.0
186.183,11.28379167,68.0,7.0,13600.0,3144.73,16744.73,91228.54,14526.72,0.4545,0.0,0.0,2.738,1.429,1.05,350.0,350.0,40.0,1050.0,0.0,9509.8,9055.0
214.392,11.28379167,68.0,7.0,15600.0,3144.73,18744.73,126728.54,14526.72,0.3947,0.0,0.0,3.153,1.429,1.05,350.0,350.0,40.0,1200.0,0.0,11629.8,11225.0
242.602,11.28379167,68.0,7.0,17600.0,3144.73,20744.73,167228.54,14526.72,0.3488,0.0,0.0,3.568,1.429,1.05,350.0,350.0,40.0,1350.0,0.0,13949.8,13720.0
270.811,11.28379167,68.0,7.0,19600.0,3144.73,22744.73,212728.54,14526.72,0.3125,0.0,0.0,3.983,1.429,1.05,350.0,350.0,40.0,1500.0,0.0,16469.8,15850.0
115.095,9.027033337,39.0,6.0,6784.0,1583.36,8367.36,35254.27,4778.36,0.4412,0.0,0.0,2.951,1.333,1.05,350.0,350.0,40.0,660.0,0.0,4338.75,4272.0
115.095,9.027033337,40.0,5.0,6784.0,1335.18,8119.18,35254.27,5026.55,0.4412,0.0,0.0,2.877,1.6,1.05,350.0,350.0,40.0,660.0,0.0,4251.88,4184.0
115.095,9.027033337,41.0,4.0,6784.0,1080.71,7864.71,35254.27,5281.02,0.4412,0.0,0.0,2.807,2.0,1.05,350.0,350.0,40.0,660.0,0.0,4162.82,4098.0
115.095,9.027033337,42.0,3.0,6784.0,819.96,7603.96,35254.27,5541.77,0.4412,0.0,0.0,2.74,2.667,1.05,350.0,350.0,40.0,660.0,0.0,4071.56,4009.0
115.095,9.027033337,43.0,2.0,6784.0,552.92,7336.92,35254.27,5808.8,0.4412,0.0,0.0,2.677,4.0,1.05,350.0,350.0,40.0,660.0,0.0,3978.09,3802.0
